Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
439,Knot bracelet (B10776AU),<p>Interesting bracelet with a knot. What styling will you choose it for? Length of the bracelet 18cm + 5cm extension. Gold-plated bracelet.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Knot bracelet (B10776AU),,,,,5900601095809,2.0,,100,deny,manual,14.7,,TRUE,TRUE,,,1,Knot bracelet (B10776AU),FALSE,Knot bracelet (B10776AU),Interesting bracelet with a knot. What styling will you choose it for? Length of the bracelet 18cm + 5cm extension. Gold-plated bracelet.,,Woman,Adult,,Woman,Knot bracelet (B10776AU),new,,,,,,,,g,,,,,active
440,Bracelet with a heart (B10777AU),"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The length of the bracelet is 22 cm. Gold-plated bracelet.</p>",Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Bracelet with a heart (B10777AU),,,,,5900601095922,3.0,,100,deny,manual,11.27,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/440/63447-Bransoletka-z-sercem-B10777AU-440-B10777AU.jpg,1,Bracelet with a heart (B10777AU),FALSE,Bracelet with a heart (B10777AU),"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The length of the bracelet is 22 cm. Gold-plated bracelet.",,Woman,Adult,,Woman,Bracelet with a heart (B10777AU),new,,,,,,,https://drop.seltu.pl/images/colibra/440/63447-Bransoletka-z-sercem-B10777AU-440-B10777AU.jpg,g,,,,,active
441,Flowers bracelet with leaves (B11066AU),<p>Jewelery with leaves is a perfect gift idea as well as a perfect addition to many styles. The length of the bracelet is 19cm + 4cm extension. Gold-plated bracelet.</p>,Colibra,Apparel & Accessories > Jewelry > Bracelets,Bracelets,Bracelets,TRUE,Title,Flowers bracelet with leaves (B11066AU),,,,,5900601109094,8.0,,100,deny,manual,30.39,,TRUE,TRUE,,,1,Flowers bracelet with leaves (B11066AU),FALSE,Flowers bracelet with leaves (B11066AU),Jewelery with leaves is a perfect gift idea as well as a perfect addition to many styles. The length of the bracelet is 19cm + 4cm extension. Gold-plated bracelet.,,Woman,Adult,,Woman,Flowers bracelet with leaves (B11066AU),new,,,,,,,,g,,,,,active
444,Crystal studs hooked on wheels (P9454AU),"<p>Studs and elegant earrings with SWAROVSKI crystals perfectly match dresses, overalls and suits. The dimensions of the earring are 2.2 cm x 0.7 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Crystal studs hooked on wheels (P9454AU),,,,,5900601001176,2.0,,100,deny,manual,15.68,,TRUE,TRUE,,,1,Crystal studs hooked on wheels (P9454AU),FALSE,Crystal studs hooked on wheels (P9454AU),"Studs and elegant earrings with SWAROVSKI crystals perfectly match dresses, overalls and suits. The dimensions of the earring are 2.2 cm x 0.7 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Crystal studs hooked on wheels (P9454AU),new,,,,,,,,g,,,,,active
443,Tiny heart earrings (P9300AU),"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The size of the earring is 1cm x 1.2cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Tiny heart earrings (P9300AU),,,,,5900601000230,1.0,,100,deny,manual,11.32,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/443/70085-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg,1,Tiny heart earrings (P9300AU),FALSE,Tiny heart earrings (P9300AU),"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The size of the earring is 1cm x 1.2cm. Gold-plated earrings.",,Woman,Adult,,Woman,Tiny heart earrings (P9300AU),new,,,,,,,https://drop.seltu.pl/images/colibra/443/70085-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg,g,,,,,active
443,Tiny heart earrings (P9300AU),"<p>Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The size of the earring is 1cm x 1.2cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Tiny heart earrings (P9300AU),,,,,5900601000230,1.0,,100,deny,manual,11.32,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/443/70092-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg,2,Tiny heart earrings (P9300AU),FALSE,Tiny heart earrings (P9300AU),"Jewelry with hearts is the perfect gift idea for a loved one, as well as a perfect addition to many styles. The size of the earring is 1cm x 1.2cm. Gold-plated earrings.",,Woman,Adult,,Woman,Tiny heart earrings (P9300AU),new,,,,,,,https://drop.seltu.pl/images/colibra/443/70085-Kolczyki-malenkie-serca-P9300AU-443-P9300AU.jpg,g,,,,,active
445,Dangle earrings with balls (P6955AU),"<p>Incredibly universal jewelery with a ball motif, perfect for any occasion. The length of the earrings is 4 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Dangle earrings with balls (P6955AU),,,,,5900601002418,4.0,,100,deny,manual,10.78,,TRUE,TRUE,,,1,Dangle earrings with balls (P6955AU),FALSE,Dangle earrings with balls (P6955AU),"Incredibly universal jewelery with a ball motif, perfect for any occasion. The length of the earrings is 4 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Dangle earrings with balls (P6955AU),new,,,,,,,,g,,,,,active
445,Dangle earrings with balls (P6955AU),"<p>Incredibly universal jewelery with a ball motif, perfect for any occasion. The length of the earrings is 4 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Dangle earrings with balls (P6955AU),,,,,5900601002418,4.0,,100,deny,manual,10.78,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/445/69027-Kolczyki-wiszace-z-kulkami-P6955AU-445-P6955AU.png,2,Dangle earrings with balls (P6955AU),FALSE,Dangle earrings with balls (P6955AU),"Incredibly universal jewelery with a ball motif, perfect for any occasion. The length of the earrings is 4 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Dangle earrings with balls (P6955AU),new,,,,,,,,g,,,,,active
446,Toothpick earrings (P7941AU),"<p>Earrings are a perfect gift idea, as well as a complement to the styling. Classic long earrings are a must have item! Size of the earring 8.5cm x 0.3cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Toothpick earrings (P7941AU),,,,,5900601003118,5.0,,100,deny,manual,10.29,,TRUE,TRUE,,,1,Toothpick earrings (P7941AU),FALSE,Toothpick earrings (P7941AU),"Earrings are a perfect gift idea, as well as a complement to the styling. Classic long earrings are a must have item! Size of the earring 8.5cm x 0.3cm. Gold-plated earrings.",,Woman,Adult,,Woman,Toothpick earrings (P7941AU),new,,,,,,,,g,,,,,active
449,Swirl earrings with crystals from the Wedding Dream collection (P8153AU),<p>Long earrings with SWAROVSKI crystals fit both formal and everyday look. The length of the earring is 5 cm. The width of the earring is 0.5 cm. Gold-plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Swirl earrings with crystals from the Wedding Dream collection (P8153AU),,,,,5900601005051,4.0,,100,deny,manual,13.64,,TRUE,TRUE,,,1,Swirl earrings with crystals from the Wedding Dream collection (P8153AU),FALSE,Swirl earrings with crystals from the Wedding Dream collection (P8153AU),Long earrings with SWAROVSKI crystals fit both formal and everyday look. The length of the earring is 5 cm. The width of the earring is 0.5 cm. Gold-plated earrings.,,Woman,Adult,,Woman,Swirl earrings with crystals from the Wedding Dream collection (P8153AU),new,,,,,,,,g,,,,,active
450,Small Balls Earrings (P8595AU),"<p>Incredibly universal jewelery with a ball motif, perfect for any occasion. The diameter of the earring is 0.7 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Small Balls Earrings (P8595AU),,,,,5900601005235,3.0,,100,deny,manual,9.24,,TRUE,TRUE,,,1,Small Balls Earrings (P8595AU),FALSE,Small Balls Earrings (P8595AU),"Incredibly universal jewelery with a ball motif, perfect for any occasion. The diameter of the earring is 0.7 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Small Balls Earrings (P8595AU),new,,,,,,,,g,,,,,active
451,Butterfly earrings from the Classic collection (P3211AU),<p>Earrings are a great gift idea and the perfect complement to any styling. Girls&#39; earrings with butterflies - for mother and daughter. The size of the earring is 1cm x 1cm.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Butterfly earrings from the Classic collection (P3211AU),,,,,5900601005525,2.0,,100,deny,manual,13.87,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/451/69987-Kolczyki-motylki-z-kolekcji-Classic-P3211AU-451-P3211AU.jpg,1,Butterfly earrings from the Classic collection (P3211AU),FALSE,Butterfly earrings from the Classic collection (P3211AU),Earrings are a great gift idea and the perfect complement to any styling. Girls&#39; earrings with butterflies - for mother and daughter. The size of the earring is 1cm x 1cm.,,Woman,Adult,,Woman,Butterfly earrings from the Classic collection (P3211AU),new,,,,,,,https://drop.seltu.pl/images/colibra/451/69987-Kolczyki-motylki-z-kolekcji-Classic-P3211AU-451-P3211AU.jpg,g,,,,,active
451,Butterfly earrings from the Classic collection (P3211AU),<p>Earrings are a great gift idea and the perfect complement to any styling. Girls&#39; earrings with butterflies - for mother and daughter. The size of the earring is 1cm x 1cm.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Butterfly earrings from the Classic collection (P3211AU),,,,,5900601005525,2.0,,100,deny,manual,13.87,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/451/70018-Kolczyki-motylki-z-kolekcji-Classic-P3211AU-451-P3211AU.jpg,2,Butterfly earrings from the Classic collection (P3211AU),FALSE,Butterfly earrings from the Classic collection (P3211AU),Earrings are a great gift idea and the perfect complement to any styling. Girls&#39; earrings with butterflies - for mother and daughter. The size of the earring is 1cm x 1cm.,,Woman,Adult,,Woman,Butterfly earrings from the Classic collection (P3211AU),new,,,,,,,https://drop.seltu.pl/images/colibra/451/69987-Kolczyki-motylki-z-kolekcji-Classic-P3211AU-451-P3211AU.jpg,g,,,,,active
452,Hoop earrings 4.5 cm (P6023 / 2AU),<p>The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4.5 cm. Wheel width 0.2 cm.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Hoop earrings 4.5 cm (P6023 / 2AU),,,,,5900601006447,8.0,,100,deny,manual,10.4,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/452/69945-Kolczyki-kola-45cm-P60232AU-452-P6023/2AU.jpg,1,Hoop earrings 4.5 cm (P6023 / 2AU),FALSE,Hoop earrings 4.5 cm (P6023 / 2AU),The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4.5 cm. Wheel width 0.2 cm.,,Woman,Adult,,Woman,Hoop earrings 4.5 cm (P6023 / 2AU),new,,,,,,,https://drop.seltu.pl/images/colibra/452/69945-Kolczyki-kola-45cm-P60232AU-452-P6023/2AU.jpg,g,,,,,active
456,Thin circle 3-4cm earrings (P4538 / 5AU),<p>Hoops are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorite or try them all! Circle diameter 4 cm. The width of the circle is 0.1 cm. Gold plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Thin circle 3-4cm earrings (P4538 / 5AU),,,,,5900601022898,3.0,,100,deny,manual,8.78,,TRUE,TRUE,,,1,Thin circle 3-4cm earrings (P4538 / 5AU),FALSE,Thin circle 3-4cm earrings (P4538 / 5AU),<p>Hoops are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorite or try them all! Circle diameter 4 cm. The width of the circle is 0.1 cm. Gold plated earrings.</p>,,Woman,Adult,,Woman,Thin circle 3-4cm earrings (P4538 / 5AU),new,,,,,,,,g,,,,,active
457,Classic 4cm hoop earrings (P6023 / 1AU),<p>The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4 cm. Width 0.2 cm.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Classic 4cm hoop earrings (P6023 / 1AU),,,,,5900601025776,6.0,,100,deny,manual,10.4,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/457/69191-Kolczyki-kola-4cm-klasyczne-P60231AU-457-P6023/1AU.jpg,1,Classic 4cm hoop earrings (P6023 / 1AU),FALSE,Classic 4cm hoop earrings (P6023 / 1AU),The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4 cm. Width 0.2 cm.,,Woman,Adult,,Woman,Classic 4cm hoop earrings (P6023 / 1AU),new,,,,,,,https://drop.seltu.pl/images/colibra/457/69191-Kolczyki-kola-4cm-klasyczne-P60231AU-457-P6023/1AU.jpg,g,,,,,active
459,"Hoop earrings 3,5cm (P6023AU)",<p>The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 3.5 cm. Width 0.2 cm. Gold-plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,"Hoop earrings 3,5cm (P6023AU)",,,,,5900601025790,7.0,,100,deny,manual,9.71,,TRUE,TRUE,,https://drop.seltu.pl/images/colibra/459/69192-Kolczyki-kola-35cm-P6023AU-459-P6023AU.jpg,1,"Hoop earrings 3,5cm (P6023AU)",FALSE,"Hoop earrings 3,5cm (P6023AU)",The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 3.5 cm. Width 0.2 cm. Gold-plated earrings.,,Woman,Adult,,Woman,"Hoop earrings 3,5cm (P6023AU)",new,,,,,,,https://drop.seltu.pl/images/colibra/459/69192-Kolczyki-kola-35cm-P6023AU-459-P6023AU.jpg,g,,,,,active
460,Round earrings 5cm (P4739 / 3AU),<p>The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 5 cm. Wheel width 0.3 cm. Gold-plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Round earrings 5cm (P4739 / 3AU),,,,,5900601025868,9.0,,100,deny,manual,9.71,,TRUE,TRUE,,,1,Round earrings 5cm (P4739 / 3AU),FALSE,Round earrings 5cm (P4739 / 3AU),The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 5 cm. Wheel width 0.3 cm. Gold-plated earrings.,,Woman,Adult,,Woman,Round earrings 5cm (P4739 / 3AU),new,,,,,,,,g,,,,,active
467,Elongated earrings with crystals (P9964AU),"<p>Studs and elegant earrings with Swarovski crystals are a perfect match for dresses, overalls and suits. The size of the earring is 1.9 cm x 0.3 cm. Gold-plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Elongated earrings with crystals (P9964AU),,,,,5900601051669,1.0,,100,deny,manual,9.31,,TRUE,TRUE,,,1,Elongated earrings with crystals (P9964AU),FALSE,Elongated earrings with crystals (P9964AU),"Studs and elegant earrings with Swarovski crystals are a perfect match for dresses, overalls and suits. The size of the earring is 1.9 cm x 0.3 cm. Gold-plated earrings.",,Woman,Adult,,Woman,Elongated earrings with crystals (P9964AU),new,,,,,,,,g,,,,,active
468,Elongated earrings with crystals (P9964AG),"<p>Feminine and elegant earrings with SWAROVSKI crystals perfectly match dresses, overalls and suits. The size of the earring is 1.9 cm x 0.3 cm. Silver plated earrings.</p>",Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Elongated earrings with crystals (P9964AG),,,,,5900601051676,1.0,,100,deny,manual,9.31,,TRUE,TRUE,,,1,Elongated earrings with crystals (P9964AG),FALSE,Elongated earrings with crystals (P9964AG),"Feminine and elegant earrings with SWAROVSKI crystals perfectly match dresses, overalls and suits. The size of the earring is 1.9 cm x 0.3 cm. Silver plated earrings.",,Woman,Adult,,Woman,Elongated earrings with crystals (P9964AG),new,,,,,,,,g,,,,,active
469,Crystal earrings between the points (P10857AU),<p>Elegant earrings with Swarovski crystals are the perfect addition to any dress or jumpsuit. Earring dimensions 1.5cm x 1cm. Gold-plated earrings.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Crystal earrings between the points (P10857AU),,,,,5900601099913,3.0,,100,deny,manual,8.82,,TRUE,TRUE,,,1,Crystal earrings between the points (P10857AU),FALSE,Crystal earrings between the points (P10857AU),Elegant earrings with Swarovski crystals are the perfect addition to any dress or jumpsuit. Earring dimensions 1.5cm x 1cm. Gold-plated earrings.,,Woman,Adult,,Woman,Crystal earrings between the points (P10857AU),new,,,,,,,,g,,,,,active
470,4cm hoop earrings with a pattern (P10881AU),<p>The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4 cm. Wheel width 0.2 cm.</p>,Colibra,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,4cm hoop earrings with a pattern (P10881AU),,,,,5900601100527,5.0,,100,deny,manual,8.82,,TRUE,TRUE,,,1,4cm hoop earrings with a pattern (P10881AU),FALSE,4cm hoop earrings with a pattern (P10881AU),The wheels are undoubtedly a classic among all earrings. We have various designs and sizes. Choose your favorites or try them all! The diameter of the earring is 4 cm. Wheel width 0.2 cm.,,Woman,Adult,,Woman,4cm hoop earrings with a pattern (P10881AU),new,,,,,,,,g,,,,,active
